id,slug,pun,category,status,approved_version,approved_at,asset_master_png,asset_final_svg,asset_web,asset_web_2x,width,height,sha256_master,sha256_svg,sha256_web,model_or_tool,prompt,notes
1,count-on-me,Count on Me,Arithmetic & fractions,approved,7,2026-09-23T17:56:21.386Z,design-assets/approved/count-on-me/v7/print_master.png,design-assets/approved/count-on-me/v7/final.svg,public/designs/count-on-me.webp,public/designs/count-on-me@2x.webp,4500,5400,907f0a7199347887a354ef5a22f3ca2a86fccc36cb6ea88bad17f8501c6cb76b,2216376258fcf7dd60e30d8114f506cbc92d34c2e09c24d7e4b5033d1c80572c,c418aa0477bc450b8502ab4ed0ef26ffed729b593bd64fe4cfe317c7f8a5a5c3,Midjourney / FLUX,,"Approved print finalization: verified transparent background, exact shirt text Count on Me, collegiate outlines, zero semi-transparent pixels, no stray specks"
2,sum-kind-of-wonderful,Sum Kind of Wonderful,Arithmetic & fractions,approved,2,2026-09-23T18:32:28.979Z,design-assets/approved/sum-kind-of-wonderful/v2/print_master.png,design-assets/approved/sum-kind-of-wonderful/v2/final.svg,public/designs/sum-kind-of-wonderful.webp,public/designs/sum-kind-of-wonderful@2x.webp,4500,5400,2d6078abea5b3498751e5fc416b1279aaaca0eb1f548b0ed79a3cd7f3555ec7a,a53b05e19b6e48b0280c7fd284c3eac41a63447b62b029c0b58ee3a97b06c4d3,a77b962ea34cf8ec708c4a1757d5e41fc03f02b9cc126cd82d53fa611c2de966,Midjourney / FLUX,,"Approved v2: Stacked Sum Kind / of Wonderful lettering, tight clear gap, optically centered composition"
3,addition-is-my-plus-one,Addition Is My Plus-One,Arithmetic & fractions,approved,2,2026-09-23T20:11:00.912Z,design-assets/approved/addition-is-my-plus-one/v2/print_master.png,design-assets/approved/addition-is-my-plus-one/v2/final.svg,public/designs/addition-is-my-plus-one.webp,public/designs/addition-is-my-plus-one@2x.webp,4500,5400,792e8f24f6db7d133f36f6369eabc510a28a21eee643c36a38a030310e49d34a,c3ff7df5dd9b4f00cb24c439efd054bebb87f81fcf4b2d5806fc9f02ea6b6019,363d397339c3d62e7631edd3c520028ffbfc8720aa68c7e22e05ab90c6e37cdf,Midjourney / FLUX,,"Approved v2: Stacked Addition Is / My Plus-One lettering, tight clear gap, optically centered composition"
4,divide-and-conquer-the-day,Divide and Conquer the Day,Arithmetic & fractions,approved,2,2026-09-23T20:38:03.788Z,design-assets/approved/divide-and-conquer-the-day/v2/print_master.png,design-assets/approved/divide-and-conquer-the-day/v2/final.svg,public/designs/divide-and-conquer-the-day.webp,public/designs/divide-and-conquer-the-day@2x.webp,4500,5400,44cae4453d4aa9a5fbfb855d9dcf13092ca9e418ca3125ee3e91900fa8ea133a,cdde6641f122bdcb0697bc575e7c19785be9bda39a4ee63822fad9f3621ba7e4,d702570ce1217a4f698987ec84e068cab1219176e5c154aff9fe6db614f11b42,Midjourney / FLUX,,Approved v2: Three-line stacked text lockup with dominant Divide / the Day bookends and tight line spacing
5,multiply-the-good,Multiply the Good,Arithmetic & fractions,idea,,,,,,,,,,,,,,
6,less-drama-more-decimal,"Less Drama, More Decimal",Arithmetic & fractions,idea,,,,,,,,,,,,,,
7,remainder-of-the-day-be-kind,Remainder of the Day: Be Kind,Arithmetic & fractions,idea,,,,,,,,,,,,,,
8,operation-positive,Operation: Positive,Arithmetic & fractions,idea,,,,,,,,,,,,,,
9,make-it-count,Make It Count,Arithmetic & fractions,idea,,,,,,,,,,,,,,
10,fractionally-fabulous,Fractionally Fabulous,Arithmetic & fractions,idea,,,,,,,,,,,,,,
